,prev4,prev3,prev2,prev1,WORD_ORC,next1,next2,next3,next4,WORD_TRUR,SAME
0,*,*,*,*,xansm,u,f,report,by,exhibit,False
1,*,*,*,xansm,u,f,report,by,willlam,d,False
2,*,*,xansm,u,f,report,by,willlam,drlver,staff,False
3,*,xansm,u,f,report,by,willlam,drlver,congressional,report,True
4,xansm,u,f,report,by,willlam,drlver,congressional,portlons,by,True
5,u,f,report,by,willlam,drlver,congressional,portlons,of,william,False
6,f,report,by,willlam,drlver,congressional,portlons,of,t,driver,True
7,report,by,willlam,drlver,congressional,portlons,of,t,orelgn,congressional,True
8,by,willlam,drlver,congressional,portlons,of,t,orelgn,trade,portions,True
9,willlam,drlver,congressional,portlons,of,t,orelgn,trade,and,of,True
10,drlver,congressional,portlons,of,t,orelgn,trade,and,investment,the,False
11,congressional,portlons,of,t,orelgn,trade,and,investment,act,foreign,False
12,portlons,of,t,orelgn,trade,and,investment,act,of,trade,True
13,of,t,orelgn,trade,and,investment,act,of,that,and,True
14,t,orelgn,trade,and,investment,act,of,that,the,investment,True
15,orelgn,trade,and,investment,act,of,that,the,planned,act,True
16,trade,and,investment,act,of,that,the,planned,to,of,True
17,and,investment,act,of,that,the,planned,to,attempt,that,True
18,investment,act,of,that,the,planned,to,attempt,cmng,the,True
19,act,of,that,the,planned,to,attempt,cmng,tltles,planned,True
20,of,that,the,planned,to,attempt,cmng,tltles,vn,to,True
21,that,the,planned,to,attempt,cmng,tltles,vn,and,attempt,True
22,the,planned,to,attempt,cmng,tltles,vn,and,vii,attaching,True
23,planned,to,attempt,cmng,tltles,vn,and,vii,of,titles,False
24,to,attempt,cmng,tltles,vn,and,vii,of,that,vi,False
25,attempt,cmng,tltles,vn,and,vii,of,that,proposed,and,True
26,cmng,tltles,vn,and,vii,of,that,proposed,act,vii,True
27,tltles,vn,and,vii,of,that,proposed,act,to,of,True
28,vn,and,vii,of,that,proposed,act,to,the,that,True
29,and,vii,of,that,proposed,act,to,the,d,proposed,True
30,vii,of,that,proposed,act,to,the,d,has,act,True
31,of,that,proposed,act,to,the,d,has,been,to,True
32,that,proposed,act,to,the,d,has,been,given,the,True
33,proposed,act,to,the,d,has,been,given,jurlsdlctlon,gold,False
34,act,to,the,d,has,been,given,jurlsdlctlon,over,has,True
35,to,the,d,has,been,given,jurlsdlctlon,over,tltles,been,True
36,the,d,has,been,given,jurlsdlctlon,over,tltles,vo,given,True
37,d,has,been,given,jurlsdlctlon,over,tltles,vo,and,jurisdiction,False
38,has,been,given,jurlsdlctlon,over,tltles,vo,and,vii,over,True
39,been,given,jurlsdlctlon,over,tltles,vo,and,vii,of,titles,False
40,given,jurlsdlctlon,over,tltles,vo,and,vii,of,t,vi,False
