,prev2,prev1,WORD_ORC,next1,next2,WORD_TRUE,SAME
0,*,*,xansm,u,e,exhibit,False
1,*,xansm,u,e,report,d,False
2,xansm,u,e,report,by,staff,False
3,u,e,report,by,willlam,report,True
4,e,report,by,willlam,drlver,by,True
5,report,by,willlam,drlver,congressional,william,False
6,by,willlam,drlver,congressional,portlons,driver,True
7,willlam,drlver,congressional,portlons,of,congressional,True
8,drlver,congressional,portlons,of,t,portions,True
9,congressional,portlons,of,t,orelgn,of,True
10,portlons,of,t,orelgn,trade,the,False
11,of,t,orelgn,trade,and,foreign,False
12,t,orelgn,trade,and,investment,trade,True
13,orelgn,trade,and,investment,act,and,True
14,trade,and,investment,act,of,investment,True
15,and,investment,act,of,that,act,True
16,investment,act,of,that,the,of,True
17,act,of,that,the,planned,that,True
18,of,that,the,planned,to,the,True
19,that,the,planned,to,attempt,planned,True
20,the,planned,to,attempt,cmng,to,True
21,planned,to,attempt,cmng,tltles,attempt,True
22,to,attempt,cmng,tltles,vg,attaching,True
23,attempt,cmng,tltles,vg,and,titles,False
24,cmng,tltles,vg,and,vii,vi,False
25,tltles,vg,and,vii,of,and,True
26,vg,and,vii,of,that,vii,True
27,and,vii,of,that,proposed,of,True
28,vii,of,that,proposed,act,that,True
29,of,that,proposed,act,to,proposed,True
30,that,proposed,act,to,the,act,True
31,proposed,act,to,the,d,to,True
32,act,to,the,d,has,the,True
33,to,the,d,has,been,gold,False
34,the,d,has,been,given,has,True
35,d,has,been,given,jurlsdlctlon,been,True
36,has,been,given,jurlsdlctlon,over,given,True
37,been,given,jurlsdlctlon,over,tltles,jurisdiction,False
38,given,jurlsdlctlon,over,tltles,va,over,True
39,jurlsdlctlon,over,tltles,va,and,titles,False
40,over,tltles,va,and,vii,vi,True
41,tltles,va,and,vii,of,and,True
42,va,and,vii,of,t,vii,True
43,and,vii,of,t,unmedlately,of,True
44,vii,of,t,unmedlately,expected,the,False
45,of,t,unmedlately,expected,to,immediately,False
46,t,unmedlately,expected,to,begln,is,True
47,unmedlately,expected,to,begln,executlve,expected,True
48,expected,to,begln,executlve,sesslon,to,False
49,to,begln,executlve,sesslon,mar,begin,False
50,begln,executlve,sesslon,mar,rapld,executive,True
51,executlve,sesslon,mar,rapld,enactment,session,True
52,sesslon,mar,rapld,enactment,xi,rapid,True
53,mar,rapld,enactment,xi,yw,enactment,True
54,rapld,enactment,xi,yw,that,is,True
55,enactment,xi,yw,that,dollar,is,False
56,xi,yw,that,dollar,devaluatlon,that,True
57,yw,that,dollar,devaluatlon,kn,dollar,True
58,that,dollar,devaluatlon,kn,ytself,devaluation,False
59,dollar,devaluatlon,kn,ytself,does,in,False
60,devaluatlon,kn,ytself,does,not,itself,False
61,kn,ytself,does,not,provlde,does,True
62,ytself,does,not,provlde,adequate,not,True
63,does,not,provlde,adequate,mm,provide,False
64,not,provlde,adequate,mm,are,adequate,True
65,provlde,adequate,mm,are,tltle,bill,True
66,adequate,mm,are,tltle,vi,are,True
67,mm,are,tltle,vi,of,title,False
68,are,tltle,vi,of,that,vi,True
69,tltle,vi,of,that,measure,of,True
70,vi,of,that,measure,would,that,True
71,of,that,measure,would,empower,measure,True
72,that,measure,would,empower,the,would,True
73,measure,would,empower,the,presldent,empower,True
74,would,empower,the,presldent,m,the,True
75,empower,the,presldent,m,any,president,True
76,the,presldent,m,any,transactlons,to,False
77,presldent,m,any,transactlons,involvzng,any,True
78,m,any,transactlons,involvzng,threat,transactions,False
79,any,transactlons,involvzng,threat,or,involving,False
80,transactlons,involvzng,threat,or,indirect,direct,True
81,involvzng,threat,or,indirect,transfer,or,True
82,threat,or,indirect,transfer,of,indirect,True
83,or,indirect,transfer,of,capltal,transfer,True
84,indirect,transfer,of,capltal,m,of,True
85,transfer,of,capltal,m,or,capital,True
86,of,capltal,m,or,within,to,False
87,capltal,m,or,within,any,or,True
88,m,or,within,any,forelgn,within,True
89,or,within,any,forelgn,country,any,True
90,within,any,forelgn,country,un,foreign,False
91,any,forelgn,country,un,his,country,True
92,forelgn,country,un,his,the,in,True
93,country,un,his,the,transfer,his,True
94,un,his,the,transfer,would,the,True
95,his,the,transfer,would,result,transfer,True
96,the,transfer,would,result,sn,would,True
97,transfer,would,result,sn,n,result,True
98,would,result,sn,n,net,in,False
99,result,sn,n,net,crease,a,False
100,sn,n,net,crease,vn,net,True
101,n,net,crease,vn,and,crease,True
102,net,crease,vn,and,any,in,False
103,crease,vn,and,any,holder,and,True
104,vn,and,any,holder,of,any,True
105,and,any,holder,of,a,holder,True
106,any,holder,of,a,patent,of,True
107,holder,of,a,patent,from,a,True
108,of,a,patent,from,manufacturlng,patent,True
109,a,patent,from,manufacturlng,the,from,True
110,patent,from,manufacturlng,the,patented,manufacturing,False
111,from,manufacturlng,the,patented,usmg,the,True
112,manufacturlng,the,patented,usmg,the,patented,True
113,the,patented,usmg,the,patented,using,False
114,patented,usmg,the,patented,mg,the,True
115,usmg,the,patented,mg,others,patented,True
116,the,patented,mg,others,to,ing,True
117,patented,mg,others,to,manufacture,others,True
118,mg,others,to,manufacture,the,to,True
119,others,to,manufacture,the,patented,manufacture,True
120,to,manufacture,the,patented,product,the,True
121,manufacture,the,patented,product,or,patented,True
122,the,patented,product,or,usmg,product,True
123,patented,product,or,usmg,the,or,True
124,product,or,usmg,the,patented,using,False
125,or,usmg,the,patented,process,the,True
126,usmg,the,patented,process,outslde,patented,True
127,the,patented,process,outslde,unlted,process,True
128,patented,process,outslde,unlted,states,outside,True
129,process,outslde,unlted,states,terrltory,united,True
130,outslde,unlted,states,terrltory,qn,states,True
131,unlted,states,terrltory,qn,the,territory,False
132,states,terrltory,qn,the,such,in,False
133,terrltory,qn,the,such,prohibition,the,True
134,qn,the,such,prohibition,hill,such,True
135,the,such,prohibition,hill,contrlbute,prohibition,True
136,such,prohibition,hill,contrlbute,to,will,True
137,prohibition,hill,contrlbute,to,increased,contribute,False
138,hill,contrlbute,to,increased,employment,to,True
139,contrlbute,to,increased,employment,qn,increased,True
140,to,increased,employment,qn,the,employment,True
141,increased,employment,qn,the,unlted,in,False
142,employment,qn,the,unlted,states,the,True
143,qn,the,unlted,states,tltle,united,True
144,the,unlted,states,tltle,vwr,states,True
145,unlted,states,tltle,vwr,would,title,False
146,states,tltle,vwr,would,requlre,vii,False
147,tltle,vwr,would,requlre,onerous,would,True
148,vwr,would,requlre,onerous,reportlng,require,False
149,would,requlre,onerous,reportlng,provlslons,onerous,True
150,requlre,onerous,reportlng,provlslons,encludeng,reporting,False
151,onerous,reportlng,provlslons,encludeng,complete,provisions,False
152,reportlng,provlslons,encludeng,complete,statlstlcs,including,True
153,provlslons,encludeng,complete,statlstlcs,on,complete,True
154,encludeng,complete,statlstlcs,on,worklng,statistics,False
155,complete,statlstlcs,on,worklng,condltlons,on,True
156,statlstlcs,on,worklng,condltlons,in,working,False
157,on,worklng,condltlons,in,multlnatlonal,conditions,False
158,worklng,condltlons,in,multlnatlonal,panles,in,True
159,condltlons,in,multlnatlonal,panles,outslde,multinational,False
160,in,multlnatlonal,panles,outslde,the,panies,True
161,multlnatlonal,panles,outslde,the,unlted,outside,True
162,panles,outslde,the,unlted,states,the,True
163,outslde,the,unlted,states,as,united,True
164,the,unlted,states,as,well,states,True
165,unlted,states,as,well,as,as,True
166,states,as,well,as,products,well,True
167,as,well,as,products,and,as,True
168,well,as,products,and,thelr,products,True
169,as,products,and,thelr,and,and,True
170,products,and,thelr,and,after,their,False
171,and,thelr,and,after,key,and,True
172,thelr,and,after,key,house,after,True
173,and,after,key,house,commlttee,key,True
174,after,key,house,commlttee,members,house,True
175,key,house,commlttee,members,were,committee,True
176,house,commlttee,members,were,alerted,members,True
177,commlttee,members,were,alerted,to,were,True
178,members,were,alerted,to,organlzed,alerted,True
179,were,alerted,to,organlzed,assurances,to,True
180,alerted,to,organlzed,assurances,were,organized,False
181,to,organlzed,assurances,were,obtalned,assurances,True
182,organlzed,assurances,were,obtalned,that,were,True
183,assurances,were,obtalned,that,the,obtained,True
184,were,obtalned,that,the,gold,that,True
185,obtalned,that,the,gold,leglslatlon,the,True
186,that,the,gold,leglslatlon,would,gold,True
187,the,gold,leglslatlon,would,measures,legislation,False
188,gold,leglslatlon,would,measures,would,would,True
189,leglslatlon,would,measures,would,be,measures,True
190,would,measures,would,be,ruled,would,True
